Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-12-16 00:00:00+11:00,16.5,22.0,15.5,19.75,64026,0,0.0
2015-12-17 00:00:00+11:00,20.5,21.5,19.0,21.5,24786,0,0.0
2015-12-18 00:00:00+11:00,21.0,21.0,19.75,20.0,17150,0,0.0
2015-12-21 00:00:00+11:00,19.5,19.5,18.0,18.0,16729,0,0.0
2015-12-22 00:00:00+11:00,18.0,18.75,18.0,18.5,8422,0,0.0
2015-12-23 00:00:00+11:00,18.5,19.25,18.5,19.0,2896,0,0.0
2015-12-24 00:00:00+11:00,19.0,19.0,18.5,18.5,2782,0,0.0
2015-12-28 00:00:00+11:00,18.5,18.5,18.5,18.5,0,0,0.0
2015-12-29 00:00:00+11:00,18.5,19.0,18.5,18.75,1820,0,0.0
2015-12-30 00:00:00+11:00,19.0,20.0,18.75,20.0,11879,0,0.0
2015-12-31 00:00:00+11:00,20.5,20.5,19.25,20.0,729,0,0.0
2016-01-04 00:00:00+11:00,20.0,20.0,19.0,19.75,10420,0,0.0
2016-01-05 00:00:00+11:00,20.0,20.0,19.5,19.5,1091,0,0.0
2016-01-06 00:00:00+11:00,19.25,19.25,19.0,19.0,4882,0,0.0
2016-01-07 00:00:00+11:00,19.0,19.25,18.75,19.25,924,0,0.0
2016-01-08 00:00:00+11:00,18.75,19.25,18.75,19.0,7396,0,0.0
2016-01-11 00:00:00+11:00,19.0,19.0,18.75,19.0,5083,0,0.0
2016-01-12 00:00:00+11:00,18.5,18.5,18.0,18.0,3214,0,0.0
2016-01-13 00:00:00+11:00,18.0,18.25,16.5,16.5,5363,0,0.0
2016-01-14 00:00:00+11:00,16.0,16.5,15.0,15.0,1885,0,0.0
2016-01-15 00:00:00+11:00,15.0,15.5,15.0,15.5,3677,0,0.0
2016-01-18 00:00:00+11:00,15.0,15.0,13.5,15.0,1560,0,0.0
2016-01-19 00:00:00+11:00,15.0,15.0,12.75,12.75,4443,0,0.0
2016-01-20 00:00:00+11:00,13.5,13.5,12.75,12.75,3370,0,0.0
2016-01-21 00:00:00+11:00,13.0,14.0,13.0,14.0,3942,0,0.0
2016-01-22 00:00:00+11:00,13.75,13.75,13.75,13.75,2204,0,0.0
2016-01-25 00:00:00+11:00,14.0,14.0,14.0,14.0,750,0,0.0
2016-01-27 00:00:00+11:00,14.0,14.0,12.5,12.5,9000,0,0.0
2016-01-28 00:00:00+11:00,12.5,12.5,12.5,12.5,8146,0,0.0
2016-01-29 00:00:00+11:00,12.5,14.0,12.0,12.0,2251,0,0.0
2016-02-01 00:00:00+11:00,12.5,12.5,12.5,12.5,1800,0,0.0
2016-02-02 00:00:00+11:00,11.75,12.0,10.5,12.0,1730,0,0.0
2016-02-03 00:00:00+11:00,12.0,12.0,12.0,12.0,170,0,0.0
2016-02-04 00:00:00+11:00,11.5,12.0,11.5,12.0,780,0,0.0
2016-02-05 00:00:00+11:00,11.0,11.0,10.5,11.0,2482,0,0.0
2016-02-08 00:00:00+11:00,11.0,11.0,10.5,10.5,1634,0,0.0
2016-02-09 00:00:00+11:00,10.25,11.75,9.75,11.5,5965,0,0.0
2016-02-10 00:00:00+11:00,11.5,11.5,11.5,11.5,1000,0,0.0
2016-02-11 00:00:00+11:00,11.75,12.0,11.5,12.0,3000,0,0.0
2016-02-12 00:00:00+11:00,11.5,11.5,9.5,9.5,2700,0,0.0
2016-02-15 00:00:00+11:00,11.5,12.0,11.5,12.0,2000,0,0.0
2016-02-16 00:00:00+11:00,11.5,11.5,9.5,9.5,1924,0,0.0
2016-02-17 00:00:00+11:00,10.75,11.0,10.75,11.0,4000,0,0.0
2016-02-18 00:00:00+11:00,10.0,10.0,10.0,10.0,50,0,0.0
2016-02-19 00:00:00+11:00,10.0,10.0,10.0,10.0,100,0,0.0
2016-02-22 00:00:00+11:00,10.0,11.0,10.0,11.0,2202,0,0.0
2016-02-23 00:00:00+11:00,10.5,11.25,10.5,11.25,2656,0,0.0
2016-02-24 00:00:00+11:00,10.0,10.0,10.0,10.0,1300,0,0.0
2016-02-25 00:00:00+11:00,10.0,10.5,10.0,10.5,1878,0,0.0
2016-02-26 00:00:00+11:00,10.5,10.5,10.0,10.0,4121,0,0.0
2016-02-29 00:00:00+11:00,10.0,10.0,10.0,10.0,2400,0,0.0
2016-03-01 00:00:00+11:00,10.0,10.0,10.0,10.0,520,0,0.0
2016-03-02 00:00:00+11:00,10.0,10.0,10.0,10.0,2236,0,0.0
2016-03-03 00:00:00+11:00,10.0,10.0,9.25,9.25,940,0,0.0
2016-03-04 00:00:00+11:00,10.0,10.0,10.0,10.0,998,0,0.0
2016-03-07 00:00:00+11:00,10.0,10.0,9.75,9.75,1190,0,0.0
2016-03-08 00:00:00+11:00,10.0,10.0,10.0,10.0,891,0,0.0
